Cena,Cena za m²,Czynsz (dodatkowo),Finanse,Liczba pokoi,Link,Miejsce,Oferta od,Powierzchnia,Poziom,Rodzaj zabudowy,Rynek,Umeblowane,Miasto
1 200 zł,,400 zł,,2 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,58 m²,3,Pozostałe,,Tak,tychy
2 200 zł,,1 zł,,4 i więcej,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,87 m²,10,Blok,,Tak,tychy
850 zł,,400 zł,,Kawalerka,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,36 m²,1,Blok,,Tak,tychy
1 000 złDo negocjacji,,320 zł,,2 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,34 m²,,Blok,,Nie,tychy
1 000 zł,,750 zł,,2 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,54 m²,4,Blok,,Tak,tychy
470 zł,,1 zł,,3 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,48 m²,1,Pozostałe,,Tak,tychy
1 100 zł,,270 zł,,Kawalerka,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,"26,50 m²",Parter,Blok,,Tak,tychy
1 800 zł,,300 zł,,3 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,100 m²,3,Blok,,Tak,tychy
247 777 złDo negocjacji,5322.81 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,"46,55 m²",Parter,Blok,Wtórny,Nie,tychy
1 600 złDo negocjacji,,400 zł,,3 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,47 m²,1,Apartamentowiec,,Tak,tychy
2 000 złDo negocjacji,,500 zł,,3 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,51 m²,1,Blok,,Tak,tychy
349 000 zł,5369.23 zł/m²,,Otwórz konto w promocji >>,3 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,65 m²,,Apartamentowiec,Wtórny,Tak,tychy
370 000 złDo negocjacji,6851.85 zł/m²,,Otwórz konto w promocji >>,3 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,54 m²,1,Blok,Wtórny,Tak,tychy
3 500 zł,,1 zł,,3 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,64 m²,3,Blok,,Tak,tychy
450 zł,,1 zł,,3 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,40 m²,1,Blok,,Tak,tychy
2 500 zł,,1 zł,,2 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,48 m²,1,Blok,,Tak,tychy
1 300 złDo negocjacji,,1 zł,,Kawalerka,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Biuro / Deweloper,30 m²,3,Blok,,Tak,tychy
1 200 zł,,1 zł,,Kawalerka,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,34 m²,3,Blok,,Tak,tychy
1 600 zł,,250 zł,,2 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,"35,20 m²",2,Blok,,Tak,tychy
1 800 zł,,1 zł,,3 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,55 m²,,Blok,,Tak,tychy
1 600 zł,,1 zł,,2 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,51 m²,2,Blok,,Tak,tychy
250 000 zł,5102.04 zł/m²,,Otwórz konto w promocji >>,3 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,49 m²,4,Blok,Wtórny,Tak,tychy
165 000 złDo negocjacji,6470.59 zł/m²,,Otwórz konto w promocji >>,1 pokój,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,"25,50 m²",1,Blok,Wtórny,Tak,tychy
1 000 zł,,1 zł,,2 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,40 m²,,Blok,,Nie,tychy
179 799 zł,4633.99 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,"38,80 m²",9,Blok,Wtórny,Nie,tychy
1 150 zł,,417 zł,,2 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,45 m²,2,Blok,,Tak,tychy
1 450 złDo negocjacji,,1 zł,,Kawalerka,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,"26,50 m²",9,Blok,,Tak,tychy
500 zł,,1 zł,,2 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Biuro / Deweloper,40 m²,,Kamienica,,Tak,tychy
1 100 zł,,418 zł,,Kawalerka,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,34 m²,3,Blok,,Tak,tychy
1 000 złDo negocjacji,,1 zł,,Kawalerka,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,22 m²,1,Blok,,Tak,tychy
190 000 złDo negocjacji,7421.88 zł/m²,,Otwórz konto w promocji >>,1 pokój,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,"25,60 m²",9,Blok,Wtórny,Tak,tychy
1 800 zł,,1 zł,,3 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,"46,70 m²",3,Blok,,Tak,tychy
no data,,,,1 pokój,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,40 m²,1,Blok,,Nie,tychy
1 700 złDo negocjacji,,1 zł,,2 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,38 m²,4,Blok,,Tak,tychy
240 000 złDo negocjacji,4685.67 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,"51,22 m²",1,Pozostałe,Wtórny,Nie,tychy
3 500 zł,,1 zł,,3 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,64 m²,3,Blok,,Tak,tychy
450 zł,,1 zł,,3 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,40 m²,1,Blok,,Tak,tychy
1 500 złDo negocjacji,,1 zł,,2 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,34 m²,3,Blok,,Tak,tychy
1 300 złDo negocjacji,,1 zł,,Kawalerka,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Biuro / Deweloper,30 m²,3,Blok,,Tak,tychy
1 350 złDo negocjacji,,1 zł,,2 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Biuro / Deweloper,50 m²,3,Blok,,Tak,tychy
1 300 zł,,310 zł,,2 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,36 m²,1,Blok,,Tak,tychy
no data,,,,3 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,63 m²,2,Blok,,Tak,tychy
1 900 złDo negocjacji,,1 zł,,2 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,41 m²,1,Apartamentowiec,,Tak,tychy
280 000 zł,4375 zł/m²,,Otwórz konto w promocji >>,3 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,64 m²,1,Blok,Wtórny,Tak,tychy
1 600 zł,,1 600 zł,,2 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Biuro / Deweloper,42 m²,1,Blok,,Tak,tychy
1 100 zł,,1 zł,,Kawalerka,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Biuro / Deweloper,20 m²,Powyżej 10,Blok,,Tak,tychy
1 550 złDo negocjacji,,330 zł,,2 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,40 m²,,Kamienica,,Tak,tychy
1 100 złDo negocjacji,,650 zł,,3 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,50 m²,9,Blok,,Tak,tychy
2 100 zł,,1 zł,,3 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,68 m²,Parter,Apartamentowiec,,Tak,tychy
275 000 złDo negocjacji,5045.87 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,"54,50 m²",1,Blok,Wtórny,Nie,tychy
4 000 złDo negocjacji,,10 zł,,3 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,90 m²,1,Kamienica,,Tak,tychy
1 300 zł,,1 zł,,2 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,51 m²,3,Blok,,Tak,tychy
1 500 zł,,1 zł,,2 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,40 m²,,Blok,,Nie,tychy
326 500 zł,6250 zł/m²,,Otwórz konto w promocji >>,3 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Biuro / Deweloper,"52,24 m²",Parter,Apartamentowiec,Pierwotny,Nie,tychy
165 000 zł,3221.4 zł/m²,,Otwórz konto w promocji >>,1 pokój,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Biuro / Deweloper,"51,22 m²",3,Blok,Wtórny,Nie,tychy
280 000 zł,5600 zł/m²,,Otwórz konto w promocji >>,3 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,50 m²,7,Blok,Wtórny,Nie,tychy
210 000 zł,4292.72 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,"48,92 m²",1,Blok,Wtórny,Nie,tychy
350 000 zł,5295.01 zł/m²,,Otwórz konto w promocji >>,3 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Biuro / Deweloper,"66,10 m²",2,Apartamentowiec,Wtórny,Nie,tychy
240 000 złDo negocjacji,5466.97 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,"43,90 m²",3,Blok,Wtórny,Nie,tychy
157 000 złDo negocjacji,6826.09 zł/m²,,Otwórz konto w promocji >>,1 pokój,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,23 m²,1,Blok,Wtórny,Tak,tychy
225 000 zł,5936.68 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,"37,90 m²",1,Blok,Wtórny,Nie,tychy
220 000 zł,4558.64 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,"48,26 m²",3,Blok,Pierwotny,Tak,tychy
330 000 złDo negocjacji,4342.11 zł/m²,,Otwórz konto w promocji >>,4 i więcej,https://www.olx.pl/oferta/sprzedam-ladne-mieszkanie-w-tychach-54m2-3-pokoje-prywatnie-CID3-IDDeX0k.html#c48d78ab24,"Tychy, Śląskie",Osoby prywatnej,76 m²,7,Blok,Wtórny,Nie,tychy
181 900 zł,5052.78 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Osoby prywatnej,36 m²,Parter,Blok,Wtórny,Tak,myslowice
1 900 zł,,1 zł,,4 i więcej,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Osoby prywatnej,76 m²,4,Blok,,Tak,myslowice
1 000 zł,,1 zł,,Kawalerka,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Biuro / Deweloper,"32,38 m²",1,Blok,,Tak,myslowice
1 200 zł,,1 zł,,Kawalerka,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Biuro / Deweloper,"44,47 m²",Parter,Blok,,Tak,myslowice
1 300 zł,,1 zł,,2 pokoje,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Biuro / Deweloper,"48,28 m²",1,Blok,,Tak,myslowice
1 700 zł,,300 zł,,2 pokoje,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Osoby prywatnej,36 m²,2,Apartamentowiec,,Tak,myslowice
1 600 zł,,1 zł,,2 pokoje,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Osoby prywatnej,50 m²,1,Apartamentowiec,,Tak,myslowice
2 200 zł,,1 zł,,3 pokoje,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Biuro / Deweloper,70 m²,5,Apartamentowiec,,Tak,myslowice
800 zł,,320 zł,,Kawalerka,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Osoby prywatnej,36 m²,Parter,Blok,,Tak,myslowice
750 zł,,170 zł,,Kawalerka,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Biuro / Deweloper,27 m²,2,Kamienica,,Tak,myslowice
890 zł,,510 zł,,Kawalerka,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Biuro / Deweloper,31 m²,1,Blok,,Tak,myslowice
1 600 złDo negocjacji,,200 zł,,2 pokoje,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Biuro / Deweloper,40 m²,,Kamienica,,Tak,myslowice
550 zł,,550 zł,,4 i więcej,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Osoby prywatnej,"74,50 m²",3,Blok,,Tak,myslowice
225 990 złDo negocjacji,5022 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Osoby prywatnej,45 m²,3,Blok,Wtórny,Tak,myslowice
229 000 złDo negocjacji,5134.53 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Osoby prywatnej,"44,60 m²",1,Blok,Wtórny,Tak,myslowice
187 000 zł,4348.84 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Osoby prywatnej,43 m²,3,Blok,Wtórny,Tak,myslowice
1 000 zł,,300 zł,,2 pokoje,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Osoby prywatnej,38 m²,Parter,Kamienica,,Tak,myslowice
2 300 zł,,"0,01 zł",,3 pokoje,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Biuro / Deweloper,70 m²,Parter,Apartamentowiec,,Tak,myslowice
195 000 złDo negocjacji,4239.13 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Osoby prywatnej,46 m²,Parter,Blok,Wtórny,Nie,myslowice
800 zł,,900 zł,,3 pokoje,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Osoby prywatnej,53 m²,3,Blok,,Nie,myslowice
1 450 zł,,1 zł,,2 pokoje,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Biuro / Deweloper,53 m²,2,Dom wolnostojący,,Tak,myslowice
229 000 złDo negocjacji,4770.83 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Osoby prywatnej,48 m²,8,Blok,Wtórny,Nie,myslowice
260 000 zł,4905.66 zł/m²,,Otwórz konto w promocji >>,3 pokoje,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Osoby prywatnej,53 m²,3,Blok,Wtórny,Nie,myslowice
1 100 zł,,1 zł,,Kawalerka,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Osoby prywatnej,50 m²,1,Pozostałe,,Tak,myslowice
181 900 zł,5052.78 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Osoby prywatnej,36 m²,Parter,Blok,Wtórny,Tak,myslowice
229 900 złDo negocjacji,4421.15 zł/m²,,Otwórz konto w promocji >>,3 pokoje,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Osoby prywatnej,52 m²,,Blok,Wtórny,Nie,myslowice
3 200 zł,,300 zł,,Kawalerka,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Osoby prywatnej,38 m²,Parter,Kamienica,,Tak,myslowice
no data,,,,4 i więcej,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Osoby prywatnej,70 m²,Parter,Kamienica,,Nie,myslowice
no data,,,,4 i więcej,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Osoby prywatnej,70 m²,Parter,Kamienica,,Nie,myslowice
175 000 złDo negocjacji,3125 zł/m²,,Otwórz konto w promocji >>,3 pokoje,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Biuro / Deweloper,56 m²,1,Kamienica,Wtórny,Tak,myslowice
1 799 zł,,1 zł,,2 pokoje,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Biuro / Deweloper,60 m²,4,Apartamentowiec,,Tak,myslowice
2 300 zł,,1 zł,,3 pokoje,https://www.olx.pl/oferta/niski-czynsz-2-pok-wys-standard-bezposrednio-CID3-IDDqbAB.html#d5360b39d9,"Mysłowice, Śląskie",Biuro / Deweloper,67 m²,4,Apartamentowiec,,Tak,myslowice
